Date,Close,High,Low,Open,Volume
1/4/2010,6.424605369567871,6.439315163181909,6.375672659933639,6.407193703508267,493729600
1/5/2010,6.435713291168213,6.4720376647979485,6.401790181206212,6.442317868487011,601904800
1/6/2010,6.333343505859375,6.461229308639555,6.326738929835494,6.435712029359036,552160000
1/7/2010,6.3216352462768555,6.364264383327154,6.275704622705846,6.356759182999326,477131200
1/8/2010,6.3636627197265625,6.364263536484609,6.276004797243845,6.313228982669677,447610800
1/11/2010,6.307528018951416,6.394285748396015,6.257694279757098,6.388281586851676,462229600
1/12/2010,6.235778809,6.297320660021102,6.196752962752996,6.2799081915167845,594459600
1/13/2010,6.323736190795898,6.3321420144830585,6.127105168666667,6.2402811755840935,605892000
1/14/2010,6.287113666534424,6.318034696676718,6.274805536578112,6.3075278151255025,432894000
1/15/2010,6.182043075561523,6.352257437794797,6.180241827206606,6.332143497831549,594067600
1/19/2010,6.455525875091553,6.460028995749092,6.221369613076615,6.2540910874193125,730007600
1/20/2010,6.356161117553711,6.470837407246043,6.289215912529167,6.451624489324957,612152800
1/21/2010,6.246285915374756,6.403591739915323,6.2204688225918865,6.366667349187989,608154400
1/22/2010,5.936479091644287,6.229175164957366,5.918767615996459,6.207560984148007,881767600
1/25/2010,6.096184253692627,6.145116553483881,6.009726355450677,6.079373006834796,1065699600
1/26/2010,6.182343006134033,6.415599447072696,6.0814755076569185,6.182643214179712,1867110000
1/27/2010,6.240581035614014,6.321634788413398,5.989912573372932,6.209660013314676,1722568400
1/28/2010,5.982708930969238,6.169134115050728,5.964997458293693,6.1520230584531195,1173502400
1/29/2010,5.765664100646973,6.070068257963605,5.711327644529887,6.0364457570574945,1245952400
2/1/2010,5.845816612243652,5.883942227268218,5.742847671,5.774969126286376,749876400
2/2/2010,5.879739284515381,5.893548852678057,5.805289703697114,5.881240725344817,698342400
2/3/2010,5.9809088706970215,6.010028655449109,5.836511981766616,5.859027188349556,615328000
2/4/2010,5.765364646911621,5.955091341649576,5.750954659229583,5.905858018692982,757652000
2/5/2010,5.867730617523193,5.883941849,5.7293379425675335,5.782774162414814,850306800
2/8/2010,5.8275041580200195,5.940379959838839,5.823901662061851,5.874636011849238,478270800
2/9/2010,5.889647006988525,5.9289730587479115,5.846417849802574,5.896551391264354,632886800
2/10/2010,5.857524871826172,5.901955259927815,5.831707782594653,5.880640089,370361600
2/11/2010,5.964096546173096,5.9965186141831515,5.825703844085346,5.850320502934583,550345600
2/12/2010,6.015430450439453,6.053255856972336,5.868932152327783,5.947284436592967,655468800
2/16/2010,6.106091022491455,6.114796653373146,6.049653122914106,6.062261457658367,543737600
2/17/2010,6.080575942993164,6.133410961508546,6.0298411785896056,6.129808464570173,436396800
2/18/2010,6.091982841491699,6.120802415208275,6.0316422222583475,6.052956193462975,422825200
